episode,reward
1,0
2,-25
3,55
4,5
5,-20
6,55
7,25
8,35
9,80
10,15
11,40
12,10
13,100
14,20
15,60
16,50
17,60
18,95
19,55
20,60
21,55
22,35
23,0
24,50
25,105
26,65
27,85
28,25
29,30
30,20
31,80
32,-5
33,75
34,30
35,55
36,15
37,40
38,40
39,30
40,-20
41,35
42,35
43,35
44,95
45,40
46,5
47,50
48,35
49,65
50,40
51,65
52,10
53,5
54,60
55,55
56,55
57,50
58,40
59,65
60,70
61,50
62,80
63,60
64,25
65,95
66,65
67,65
68,25
69,60
70,60
71,30
72,70
73,-35
74,5
75,35
76,65
77,35
78,30
79,5
80,5
81,5
82,65
83,60
84,50
85,105
86,40
87,15
88,70
89,30
90,35
91,10
92,70
93,35
94,30
95,30
96,60
97,65
98,-10
99,40
100,65
101,35
102,85
103,35
104,40
105,30
106,70
107,90
108,70
109,25
110,20
111,45
112,25
113,65
114,45
115,60
116,65
117,20
118,45
119,35
120,30
121,60
122,80
123,30
124,-25
125,20
126,65
127,55
128,75
129,40
130,25
131,30
132,35
133,55
134,35
135,25
136,35
137,20
138,65
139,45
140,-15
141,45
142,25
143,50
144,20
145,50
146,0
147,95
148,20
149,15
150,50
151,10
152,35
153,30
154,60
155,25
156,35
157,65
158,45
159,25
160,-50
161,45
162,60
163,50
164,55
165,20
166,70
167,45
168,50
169,60
170,55
171,65
172,85
173,50
174,70
175,60
176,10
177,-10
178,110
179,50
180,55
181,25
182,15
183,50
184,90
185,80
186,40
187,20
188,40
189,45
190,45
191,45
192,55
193,35
194,30
195,80
196,50
197,80
198,55
199,20
200,55
201,35
202,50
203,55
204,30
205,45
206,15
207,30
208,20
209,45
210,40
211,40
212,50
213,50
214,75
215,95
216,60
217,15
218,10
219,-5
220,25
221,50
222,60
223,50
224,55
225,55
226,5
227,50
228,55
229,50
230,5
231,20
232,45
233,15
234,70
235,100
236,0
237,40
238,10
239,75
240,80
241,80
242,25
243,15
244,45
245,50
246,45
247,60
248,75
249,85
250,-10
251,65
252,30
253,30
254,35
255,80
256,65
257,60
258,85
259,40
260,95
261,40
262,90
263,35
264,60
265,0
266,45
267,70
268,30
269,95
270,40
271,90
272,50
273,70
274,45
275,35
276,80
277,25
278,5
279,20
280,60
281,50
282,10
283,60
284,85
285,30
286,15
287,85
288,65
289,75
290,15
291,30
292,30
293,40
294,55
295,40
296,10
297,25
298,35
299,70
300,60
301,40
302,95
303,-75
304,-5
305,65
306,10
307,70
308,55
309,20
310,60
311,35
312,75
313,65
314,100
315,55
316,40
317,25
318,50
319,5
320,5
321,50
322,25
323,5
324,75
325,15
326,60
327,25
328,55
329,70
330,30
331,40
332,70
333,20
334,95
335,25
336,35
337,85
338,30
339,70
340,20
341,70
342,35
343,70
344,70
345,55
346,45
347,55
348,75
349,10
350,20
351,5
352,25
353,90
354,60
355,70
356,55
357,50
358,60
359,50
360,40
361,30
362,25
363,45
364,40
365,75
366,0
367,60
368,25
369,45
370,45
371,80
372,45
373,5
374,10
375,60
376,95
377,65
378,60
379,70
380,85
381,45
382,20
383,30
384,45
385,45
386,50
387,80
388,70
389,15
390,40
391,60
392,15
393,20
394,15
395,50
396,50
397,65
398,95
399,40
400,80
401,35
402,60
403,35
404,15
405,60
406,50
407,75
408,25
409,55
410,25
411,50
412,65
413,15
414,80
415,35
416,30
417,15
418,80
419,50
420,25
421,50
422,75
423,55
424,50
425,15
426,25
427,30
428,50
429,60
430,70
431,40
432,30
433,70
434,115
435,85
436,25
437,60
438,60
439,80
440,25
441,35
442,10
443,40
444,50
445,65
446,70
447,50
448,60
449,35
450,40
451,-10
452,75
453,30
454,-5
455,30
456,10
457,25
458,65
459,45
460,60
461,90
462,25
463,20
464,95
465,60
466,35
467,35
468,60
469,15
470,30
471,75
472,15
473,35
474,85
475,80
476,60
477,35
478,50
479,60
480,95
481,50
482,35
483,35
484,70
485,60
486,60
487,65
488,30
489,90
490,45
491,35
492,50
493,45
494,15
495,90
496,-15
497,25
498,-5
499,10
500,65
501,30
502,50
503,55
504,60
505,85
506,25
507,40
508,85
509,80
510,90
511,40
512,15
513,35
514,40
515,90
516,60
517,15
518,80
519,25
520,40
521,40
522,55
523,75
524,15
525,-20
526,75
527,90
528,40
529,15
530,45
531,65
532,70
533,90
534,45
535,85
536,-5
537,80
538,95
539,45
540,35
541,55
542,55
543,-10
544,40
545,85
546,15
547,10
548,75
549,-5
550,135
551,25
552,35
553,15
554,100
555,55
556,80
557,40
558,80
559,45
560,10
561,90
562,-20
563,50
564,95
565,80
566,75
567,20
568,-5
569,-35
570,40
571,100
572,70
573,25
574,40
575,25
576,70
577,0
578,80
579,75
580,65
581,50
582,60
583,-5
584,80
585,70
586,35
587,85
588,-20
589,15
590,50
591,20
592,15
593,15
594,60
595,30
596,50
597,45
598,60
599,35
600,5
601,80
602,35
603,20
604,20
605,55
606,50
607,35
608,50
609,85
610,10
611,65
612,55
613,95
614,85
615,60
616,45
617,55
618,45
619,15
620,25
621,55
622,15
623,45
624,0
625,30
626,25
627,15
628,30
629,35
630,45
631,5
632,50
633,85
634,50
635,60
636,90
637,10
638,55
639,5
640,20
641,10
642,25
643,95
644,75
645,55
646,35
647,50
648,30
649,20
650,65
651,25
652,50
653,90
654,85
655,35
656,50
657,40
658,70
659,60
660,20
661,40
662,65
663,75
664,85
665,70
666,55
667,50
668,70
669,50
670,20
671,60
672,15
673,40
674,5
675,45
676,35
677,35
678,10
679,75
680,60
681,60
682,65
683,40
684,35
685,70
686,25
687,60
688,70
689,40
690,80
691,75
692,45
693,35
694,30
695,45
696,75
697,50
698,45
699,30
700,40
701,80
702,25
703,70
704,40
705,50
706,45
707,-10
708,10
709,25
710,45
711,75
712,30
713,45
714,75
715,35
716,35
717,45
718,45
719,20
720,80
721,40
722,25
723,40
724,40
725,35
726,60
727,65
728,25
729,50
730,55
731,15
732,85
733,70
734,0
735,35
736,20
737,40
738,10
739,55
740,25
741,60
742,15
743,45
744,30
745,25
746,40
747,80
748,60
749,55
750,40
751,45
752,70
753,55
754,35
755,15
756,40
757,80
758,40
759,20
760,75
761,-5
762,35
763,35
764,25
765,50
766,65
767,50
768,70
769,-25
770,20
771,20
772,35
773,45
774,65
775,40
776,20
777,20
778,85
779,40
780,75
781,100
782,30
783,5
784,60
785,25
786,45
787,25
788,55
789,50
790,50
791,5
792,45
793,50
794,95
795,50
796,50
797,60
798,5
799,55
800,50
801,90
802,25
803,85
804,65
805,30
806,15
807,70
808,85
809,60
810,20
811,70
812,50
813,40
814,40
815,20
816,0
817,25
818,10
819,60
820,60
821,80
822,50
823,70
824,-15
825,40
826,45
827,80
828,30
829,65
830,60
831,55
832,80
833,40
834,40
835,45
836,35
837,50
838,80
839,35
840,35
841,15
842,50
843,45
844,45
