episode,reward
1,30
2,15
3,35
4,50
5,75
6,95
7,45
8,45
9,70
10,65
11,30
12,85
13,85
14,40
15,65
16,45
17,75
18,115
19,50
20,50
21,80
22,80
23,40
24,65
25,110
26,85
27,115
28,90
29,25
30,50
31,50
32,80
33,40
34,115
35,35
36,25
37,70
38,125
39,65
40,10
41,50
42,60
43,70
44,50
45,120
46,50
47,60
48,50
49,70
50,80
51,25
52,75
53,50
54,60
55,40
56,100
57,50
58,70
59,70
60,75
61,55
62,55
63,80
64,65
65,90
66,75
67,60
68,55
69,70
70,60
71,45
72,55
73,90
74,40
75,120
76,110
77,65
78,50
79,50
80,25
81,90
82,95
83,60
84,80
85,85
86,85
87,75
88,50
89,60
90,50
91,70
92,60
93,110
94,35
95,90
96,80
97,40
98,90
99,110
100,50
101,85
102,85
103,20
104,115
105,25
106,70
107,65
108,65
109,115
110,50
111,5
112,75
113,75
114,40
115,45
116,40
117,55
118,45
119,35
120,45
121,70
122,80
123,50
124,85
125,95
126,45
127,35
128,45
129,60
130,65
131,95
132,35
133,60
134,100
135,55
136,110
137,30
138,75
139,55
140,40
141,75
142,75
143,85
144,60
145,65
146,75
147,65
148,60
149,70
150,55
151,45
152,85
153,75
154,90
155,60
156,120
157,65
158,90
159,80
160,30
161,40
162,85
163,60
164,100
165,110
166,75
167,25
168,85
169,20
170,70
171,55
172,-20
173,70
174,75
175,60
176,75
177,95
178,45
179,80
180,80
181,65
182,15
183,55
184,75
185,100
186,75
187,55
188,45
189,70
190,30
191,80
192,50
193,45
194,55
195,45
196,40
197,60
198,80
199,75
200,70
201,40
202,80
203,40
204,15
205,75
206,50
207,85
208,40
209,85
210,30
211,40
212,70
213,55
214,45
215,55
216,75
217,25
218,75
219,75
220,100
221,45
222,50
223,85
224,70
225,75
226,60
227,85
228,55
229,125
230,70
231,90
232,55
233,45
234,20
235,90
236,40
237,50
238,75
239,50
240,90
241,50
242,35
243,60
244,70
245,40
246,30
247,30
248,30
249,100
250,15
251,65
252,65
253,70
254,40
255,60
256,60
257,30
258,60
259,30
260,60
261,60
262,70
263,55
264,55
265,80
266,80
267,80
268,80
269,80
270,65
271,40
272,75
273,75
274,50
275,120
276,100
277,40
278,75
279,65
280,70
281,40
282,80
283,65
284,0
285,25
286,20
287,100
288,80
289,30
290,55
291,35
292,85
293,75
294,85
295,120
296,85
297,50
298,35
299,20
300,65
301,50
302,100
303,60
304,60
305,85
306,20
307,70
308,-15
309,70
310,85
311,65
312,45
313,60
314,65
315,110
316,115
317,70
318,70
319,50
320,75
321,55
322,30
323,40
324,70
325,70
326,35
327,55
328,65
329,15
330,75
331,90
332,75
333,70
334,60
335,90
336,55
337,55
338,40
339,55
340,45
341,85
342,70
343,85
344,20
345,40
346,50
347,30
348,20
349,60
350,65
351,125
352,85
353,70
354,45
355,75
356,75
357,60
358,70
359,50
360,85
361,90
362,65
363,75
364,115
365,40
366,45
367,60
368,85
369,85
370,60
371,50
372,45
373,65
374,55
375,75
376,50
377,60
378,95
379,25
380,80
381,5
382,80
383,85
384,80
385,45
386,95
387,40
388,95
389,80
390,80
391,55
392,50
393,95
394,90
395,65
396,65
397,75
398,80
399,50
400,120
401,30
402,80
403,50
404,90
405,35
406,35
407,70
408,95
409,50
410,60
411,45
412,90
413,40
414,65
415,55
416,85
417,55
418,15
419,45
420,110
421,115
422,60
423,40
424,60
425,70
426,70
427,65
428,75
429,65
430,40
431,40
432,35
433,90
434,75
435,50
436,-20
437,0
438,45
439,70
440,130
441,60
442,90
443,75
444,75
445,35
446,30
447,50
448,95
449,115
450,95
451,85
452,80
453,100
454,15
455,70
456,65
457,40
458,65
459,85
460,0
461,85
462,50
463,75
464,95
465,35
466,55
467,80
468,10
469,35
470,70
471,80
472,85
473,50
474,75
475,40
476,70
477,60
478,50
479,55
480,100
481,85
482,85
483,45
484,55
485,45
486,20
487,75
488,70
489,45
490,65
491,35
492,125
493,70
494,45
495,50
496,105
497,85
498,65
499,80
500,70
501,50
502,30
503,60
504,70
505,65
506,50
507,60
508,60
509,80
510,60
511,115
512,100
513,55
514,50
515,65
516,55
517,75
518,50
519,30
520,85
521,45
522,15
523,70
524,70
525,65
526,105
527,105
528,70
529,75
530,35
531,45
532,90
533,70
534,95
535,50
536,60
537,65
538,80
539,35
540,85
541,40
542,65
543,60
544,70
545,70
546,90
547,105
548,10
549,95
550,80
551,70
552,55
553,100
554,80
555,30
556,45
557,90
558,60
559,65
560,75
561,75
562,85
563,70
564,100
565,85
566,65
567,65
568,40
569,75
570,95
571,90
572,95
573,70
574,85
575,60
576,110
577,80
578,25
579,70
580,80
581,85
582,85
583,65
584,45
585,70
586,90
587,10
588,0
589,95
590,85
591,45
592,105
593,40
594,70
595,100
596,50
597,70
598,80
599,30
600,25
601,70
602,75
603,80
604,45
605,55
606,40
607,75
608,75
609,70
610,90
611,40
612,65
613,100
614,45
615,90
616,90
617,85
618,35
619,75
620,60
621,55
622,65
623,30
624,65
625,55
626,50
627,25
628,60
629,5
630,65
631,85
632,70
633,55
634,45
635,80
