episode,reward
1,20
2,70
3,100
4,70
5,95
6,80
7,95
8,95
9,60
10,105
11,105
12,115
13,30
14,65
15,85
16,90
17,60
18,95
19,70
20,55
21,40
22,110
23,100
24,60
25,65
26,45
27,70
28,80
29,55
30,20
31,65
32,5
33,65
34,50
35,60
36,50
37,70
38,75
39,75
40,35
41,45
42,15
43,45
44,50
45,90
46,60
47,60
48,30
49,0
50,110
51,55
52,60
53,55
54,45
55,55
56,45
57,10
58,35
59,45
60,35
61,20
62,80
63,110
64,25
65,70
66,115
67,65
68,35
69,85
70,75
71,95
72,-20
73,100
74,50
75,25
76,80
77,90
78,60
79,50
80,85
81,75
82,75
83,50
84,80
85,60
86,95
87,55
88,35
89,95
90,50
91,30
92,55
93,100
94,55
95,40
96,60
97,45
98,70
99,85
100,85
101,110
102,65
103,65
104,115
105,20
106,55
107,75
108,35
109,105
110,40
111,40
112,65
113,55
114,80
115,75
116,95
117,65
118,55
119,85
120,80
121,-5
122,35
123,75
124,90
125,30
126,75
127,15
128,70
129,100
130,80
131,80
132,70
133,60
134,10
135,20
136,55
137,90
138,85
139,75
140,70
141,70
142,75
143,25
144,5
145,95
146,75
147,65
148,15
149,50
150,75
151,50
152,0
153,125
154,35
155,55
156,65
157,70
158,55
159,30
160,50
161,70
162,20
163,20
164,55
165,65
166,60
167,40
168,50
169,65
170,75
171,35
172,55
173,85
174,110
175,40
176,60
177,50
178,110
179,50
180,90
181,60
182,95
183,35
184,35
185,110
186,50
187,65
188,30
189,35
190,40
191,80
192,85
193,60
194,65
195,60
196,35
197,50
198,90
199,65
200,85
201,65
202,65
203,85
204,15
205,35
206,10
207,40
208,35
209,40
210,45
211,10
212,35
213,20
214,20
215,45
216,65
217,35
218,40
219,60
220,60
221,45
222,45
223,70
224,100
225,75
226,45
227,80
228,85
229,85
230,65
231,50
232,50
233,80
234,60
235,45
236,80
237,40
238,80
239,95
240,70
241,20
242,70
243,115
244,60
245,40
246,75
247,70
248,85
249,105
250,55
251,85
252,90
253,65
254,50
255,40
256,70
257,20
258,80
259,115
260,45
261,105
262,35
263,55
264,95
265,110
266,40
267,50
268,25
269,20
270,70
271,90
272,65
273,105
274,90
275,65
276,100
277,20
278,30
279,85
280,100
281,-5
282,90
283,85
284,105
285,85
286,80
287,65
288,80
289,50
290,5
291,75
292,45
293,45
294,45
295,60
