episode,reward
1,-10
2,65
3,80
4,110
5,75
6,85
7,10
8,80
9,80
10,80
11,60
12,95
13,65
14,70
15,100
16,75
17,100
18,60
19,35
20,85
21,70
22,45
23,90
24,85
25,90
26,55
27,100
28,90
29,65
30,55
31,80
32,90
33,95
34,55
35,80
36,100
37,75
38,5
39,90
40,60
41,50
42,90
43,80
44,60
45,120
46,80
47,95
48,55
49,50
50,50
51,75
52,85
53,25
54,75
55,125
56,60
57,105
58,35
59,105
60,25
61,125
62,60
63,105
64,60
65,100
66,50
67,125
68,45
69,55
70,90
71,95
72,100
73,115
74,35
75,85
76,60
77,75
78,55
79,30
80,80
81,85
82,105
83,25
84,55
85,60
86,100
87,55
88,10
89,120
90,45
91,100
92,70
93,15
94,85
95,90
96,45
97,115
98,65
99,130
100,0
101,105
102,130
103,105
104,50
105,95
106,90
107,60
108,105
109,80
110,50
111,60
112,80
113,70
114,90
115,50
116,105
117,65
118,90
119,65
120,80
121,115
122,10
123,70
124,55
125,85
126,70
127,100
128,50
129,125
130,75
131,85
132,80
133,105
134,65
135,80
136,55
137,45
138,50
139,65
140,100
141,20
142,35
143,30
144,95
145,50
146,90
147,90
148,105
149,95
150,30
151,95
152,70
153,40
154,35
155,85
156,60
157,80
158,50
159,75
160,80
161,50
162,80
163,85
164,50
165,85
166,80
167,85
168,80
169,30
170,110
171,50
172,70
173,50
174,45
175,40
176,40
177,55
178,75
179,90
180,80
181,80
182,105
183,40
184,110
185,45
186,40
187,60
188,65
189,60
190,105
191,35
192,40
193,80
194,35
195,95
196,105
197,90
198,105
199,80
200,125
201,60
202,80
203,80
204,80
205,125
206,50
207,105
208,85
209,85
210,85
211,50
212,65
213,85
214,85
215,95
216,70
217,85
218,75
219,90
220,65
221,90
222,95
223,60
224,5
225,100
226,0
227,60
228,120
229,95
230,85
231,100
232,80
233,75
234,10
235,35
236,35
237,40
238,120
239,55
240,100
241,70
242,55
243,90
244,55
245,85
246,65
247,60
248,95
249,30
250,65
251,80
252,135
253,60
254,55
255,95
256,35
257,65
258,80
259,60
260,60
261,65
262,85
263,100
264,70
265,45
266,70
267,50
268,100
269,70
270,10
271,75
272,55
273,105
274,70
275,80
276,80
277,55
278,65
279,50
280,80
281,55
282,65
283,-10
284,50
285,105
286,50
287,55
288,70
289,65
290,65
291,90
292,85
293,75
294,95
295,45
296,115
297,30
298,60
299,80
300,90
301,100
302,80
303,70
304,50
305,40
306,90
307,85
308,75
309,110
310,30
311,75
312,45
313,90
314,105
315,85
316,95
317,55
318,70
319,85
320,115
321,90
322,30
323,110
324,90
325,60
326,55
327,60
328,65
329,35
330,85
331,65
332,115
333,130
334,90
335,50
336,75
337,100
338,75
339,50
340,90
341,90
342,-5
343,105
344,95
345,80
346,70
347,65
348,40
349,90
350,80
351,65
352,85
353,35
354,120
355,95
356,120
